id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
33,Lutjanus jocu,159798,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159798,Lutjanus jocu,"(Bloch & Schneider, 1801)",accepted,NA,220,Species,159798,Lutjanus jocu,"(Bloch & Schneider, 1801)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus jocu (Bloch & Schneider, 1801). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159798 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159798,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
34,Halichoeres bivittatus,158815,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158815,Halichoeres bivittatus,"(Bloch, 1791)",accepted,NA,220,Species,158815,Halichoeres bivittatus,"(Bloch, 1791)",158813,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Halichoeres bivittatus (Bloch, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158815 on 2023-01-19",urn:lsid:marinespecies.org:taxname:158815,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
35,Bodianus rufus,273541,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273541,Bodianus rufus,"(Linnaeus, 1758)",accepted,NA,220,Species,273541,Bodianus rufus,"(Linnaeus, 1758)",126017,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bodianus rufus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273541 on 2023-01-19",urn:lsid:marinespecies.org:taxname:273541,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
36,Ocyurus chrysurus,159803,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159803,Ocyurus chrysurus,"(Bloch, 1791)",accepted,NA,220,Species,159803,Ocyurus chrysurus,"(Bloch, 1791)",159802,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Ocyurus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Ocyurus chrysurus (Bloch, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159803 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159803,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
37,Halichoeres pictus,275788,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275788,Halichoeres pictus,"(Poey, 1860)",accepted,NA,220,Species,275788,Halichoeres pictus,"(Poey, 1860)",158813,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Halichoeres pictus (Poey, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275788 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275788,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
38,Halichoeres maculipinna,275772,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275772,Halichoeres maculipinna,"(Müller & Troschel, 1848)",accepted,NA,220,Species,275772,Halichoeres maculipinna,"(Müller & Troschel, 1848)",158813,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Halichoeres maculipinna (Müller & Troschel, 1848). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275772 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275772,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
39,Halichoeres poeyi,275790,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275790,Halichoeres poeyi,"(Steindachner, 1867)",accepted,NA,220,Species,275790,Halichoeres poeyi,"(Steindachner, 1867)",158813,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Halichoeres poeyi (Steindachner, 1867). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275790 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275790,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
40,Thalassoma bifasciatum,159786,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159786,Thalassoma bifasciatum,"(Bloch, 1791)",accepted,NA,220,Species,159786,Thalassoma bifasciatum,"(Bloch, 1791)",126024,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Thalassoma,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Thalassoma bifasciatum (Bloch, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159786 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159786,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
41,Acanthurus coeruleus,159581,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",accepted,NA,220,Species,159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",125908,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159581,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
42,Acanthurus bahianus,159578,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578,Acanthurus bahianus,"Castelnau, 1855",accepted,NA,220,Species,159578,Acanthurus bahianus,"Castelnau, 1855",125908,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159578,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
43,Acanthurus chirurgus,159580,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580,Acanthurus chirurgus,"(Bloch, 1787)",accepted,NA,220,Species,159580,Acanthurus chirurgus,"(Bloch, 1787)",125908,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Acanthurus chirurgus (Bloch, 1787). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159580,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
