id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
51,Bodianus diplotaenia,273527,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273527,Bodianus diplotaenia,"(Gill, 1862)",accepted,NA,220,Species,273527,Bodianus diplotaenia,"(Gill, 1862)",126017,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bodianus diplotaenia (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273527 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273527,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
52,Cirrhitichthys oxycephalus,218853,https://www.marinespecies.org/aphia.php?p=taxdetails&id=218853,Cirrhitichthys oxycephalus,"(Bleeker, 1855)",accepted,NA,220,Species,218853,Cirrhitichthys oxycephalus,"(Bleeker, 1855)",204590,Animalia,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,Cirrhitichthys,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Cirrhitichthys oxycephalus (Bleeker, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218853 on 2023-01-20",urn:lsid:marinespecies.org:taxname:218853,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
53,Myripristis leiognathus,276199,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276199,Myripristis leiognathus,"Valenciennes, 1846",accepted,NA,220,Species,276199,Myripristis leiognathus,"Valenciennes, 1846",159383,Animalia,Chordata,Teleostei,Holocentriformes,Holocentridae,Myripristis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Myripristis leiognathus Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276199 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276199,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
54,Apogon dovii,273009,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273009,Apogon dovii,"Günther, 1862",accepted,NA,220,Species,273009,Apogon dovii,"Günther, 1862",125913,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Apogon dovii Günther, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273009 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273009,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
55,Arothron hispidus,219925,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219925,Arothron hispidus,"(Linnaeus, 1758)",accepted,NA,220,Species,219925,Arothron hispidus,"(Linnaeus, 1758)",156706,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Arothron,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Arothron hispidus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219925 on 2023-01-20",urn:lsid:marinespecies.org:taxname:219925,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
56,Arothron Meleagris,219926,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219926,Arothron meleagris,"(Anonymous, 1798)",accepted,NA,220,Species,219926,Arothron meleagris,"(Anonymous, 1798)",156706,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Arothron,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Arothron meleagris (Anonymous, 1798). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219926 on 2023-01-20",urn:lsid:marinespecies.org:taxname:219926,1,0,0,0,NA,exact,2010-05-06T12:14:18.327Z
57,Apogon pacificus,273065,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273065,Apogon pacificus,"(Herre, 1935)",accepted,NA,220,Species,273065,Apogon pacificus,"(Herre, 1935)",125913,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Apogon pacificus (Herre, 1935). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273065 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273065,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
58,Sargocentron suborbitalis,272219,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272219,Sargocentron suborbitalis,"(Gill, 1863)",unaccepted,NA,220,Species,1021098,Sargocentron suborbitale,"(Gill, 1863)",125704,Animalia,Chordata,Teleostei,Holocentriformes,Holocentridae,Sargocentron,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Sargocentron suborbitalis (Gill, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272219 on 2023-01-20",urn:lsid:marinespecies.org:taxname:272219,1,0,0,0,NA,exact,2018-02-12T22:58:22.837Z
59,Coryphopterus urospilus,276435,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276435,Coryphopterus urospilus,"Ginsburg, 1938",accepted,NA,220,Species,276435,Coryphopterus urospilus,"Ginsburg, 1938",159735,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Coryphopterus urospilus Ginsburg, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276435 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276435,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
60,Synodus lacertinus,272130,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272130,Synodus lacertinus,"Gilbert, 1890",accepted,NA,220,Species,272130,Synodus lacertinus,"Gilbert, 1890",125686,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Synodus lacertinus Gilbert, 1890. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272130 on 2023-01-20",urn:lsid:marinespecies.org:taxname:272130,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
